title|doi
Bidirectional relationship between olfaction and Parkinson’s disease|10.1038/s41531-024-00838-4
Slovak database of speech affected by neurodegenerative diseases|10.1038/s41597-024-04171-6
Validation of Parkinson's Disease Ascertainment in the Veterans Administration Electronic Medical Record|10.1002/mds.30075
Cortical complexity alterations in motor subtypes of Parkinson's disease: A surface‐based morphometry analysis of fractal dimension|10.1111/ejn.16612
Identification of isoAsp7-Aβ as a major Aβ variant in Alzheimer’s disease, dementia with Lewy bodies and vascular dementia|10.1007/s00401-024-02824-9
MJF-14 proximity ligation assay detects early non-inclusion alpha-synuclein pathology with enhanced specificity and sensitivity|10.1038/s41531-024-00841-9
Seeding activity of skin misfolded tau as a biomarker for tauopathies|10.1186/s13024-024-00781-1
Enhancement and evaluation for deep learning-based classification of volumetric neuroimaging with 3D-to-2D knowledge distillation|10.1038/s41598-024-80938-6
Associations of motor and neuropsychiatric symptoms with comorbidities in prodromal Parkinson’s disease|10.3389/fnagi.2024.1452766
The Parkinson’s disease risk gene cathepsin B promotes fibrillar alpha-synuclein clearance, lysosomal function and glucocerebrosidase activity in dopaminergic neurons|10.1186/s13024-024-00779-9
A multi-region single nucleus transcriptomic atlas of Parkinson’s disease|10.1038/s41597-024-04117-y
Longitudinal decline in DAT binding in Parkinson’s disease: connections with sleep disturbances|10.1186/s12916-024-03766-5
High‐molecular‐weight oligomer tau (HMWoTau) species are dramatically increased in Braak‐stage dependent manner in the frontal lobe of human brains, demonstrated by a novel oligomer Tau ELISA with a mouse monoclonal antibody (APNmAb005)|10.1096/fj.202401704r
Reduced striatal M4-cholinergic signaling following dopamine loss contributes to parkinsonian and l -DOPA–induced dyskinetic behaviors|10.1126/sciadv.adp6301
Rapid modulation of striatal cholinergic interneurons and dopamine release by satellite astrocytes|10.1038/s41467-024-54253-7
A worldwide study of subcortical shape as a marker for clinical staging in Parkinson’s disease|10.1038/s41531-024-00825-9
Circulating blood circular RNA in Parkinson’s Disease; from involvement in pathology to diagnostic tools in at-risk individuals|10.1038/s41531-024-00839-3
